1369
195.209.208.31+22 06 2006 173
195.209.208.32+24 01 2006 24
193.125.143.206+03 09 2004 247
194.85.82.254+21 06 2006 172
212.188.97.47+03 09 2004 247
217.67.117.64+18 06 2006 169
81.22.207.7+03 09 2004 247
82.204.230.24+03 09 2004 247
213.234.197.66+03 09 2004 247
195.239.1.30+05 09 2004 249
194.85.81.222+21 09 2004 265
194.85.81.129+25 02 2005 56
80.246.69.11+06 09 2004 250
207.46.98.102+06 09 2004 250
143.52.197.121+06 09 2004 250
212.188.98.53+06 09 2004 250
213.251.192.43+31 08 2005 243
195.209.208.101+07 09 2004 251
194.85.82.193+07 09 2004 251
195.239.1.122+07 09 2004 251
195.133.213.202+12 09 2004 256
195.209.208.205+01 04 2005 91
194.85.80.108+02 03 2005 61
195.209.208.12+16 06 2006 167
212.119.247.252+09 09 2004 253
217.196.100.30+09 09 2004 253
62.183.50.164+27 03 2006 86
83.149.209.253+09 09 2004 253
212.188.98.222+10 09 2004 254
194.67.18.77+18 07 2005 199
194.85.81.217+10 01 2006 10
80.249.152.58+11 09 2004 255
194.85.81.136+06 06 2006 157
141.33.192.132+13 09 2004 257
212.57.172.174+13 09 2004 257
194.85.83.83+22 03 2005 81
81.195.10.178+13 09 2004 257
65.96.130.208+04 11 2004 309
81.19.66.9+14 09 2004 258
212.192.138.52+14 09 2004 258
195.239.2.135+15 09 2004 259
194.85.81.247+02 03 2005 61
194.85.81.178+25 11 2004 330
217.10.38.130+19 06 2006 170
212.188.99.188+16 09 2004 260
66.249.66.14+16 09 2004 260
193.232.5.2+16 09 2004 260
194.85.81.191+19 09 2004 263
209.167.50.22+12 03 2006 71
62.76.80.92+16 09 2004 260
194.186.216.66+10 05 2006 130
194.85.81.236+17 09 2004 261
193.125.143.116+24 02 2005 55
66.249.64.181+17 09 2004 261
83.237.23.105+17 09 2004 261
213.152.157.43+19 09 2004 263
195.16.37.205+20 09 2004 264
207.46.98.75+16 10 2004 290
194.85.81.85+04 06 2005 155
217.84.234.70+20 09 2004 264
212.188.96.51+21 09 2004 265
195.209.208.47+10 12 2004 345
66.249.64.199+21 09 2004 265
83.237.133.188+22 09 2004 266
193.232.69.1+24 03 2005 83
212.188.98.73+26 09 2004 270
83.237.9.8+28 09 2004 272
193.124.162.227+28 09 2004 272
212.45.24.131+10 03 2006 69
217.118.66.232+14 10 2005 287
195.209.208.19+23 03 2006 82
82.144.221.255+01 10 2004 275
217.20.169.97+17 10 2004 291
62.118.153.68+30 09 2004 274
193.125.142.174+04 04 2006 94
81.176.1.60+02 10 2004 276
212.248.120.34+02 10 2004 276
212.46.238.233+03 10 2004 277
66.249.64.50+03 10 2004 277
193.233.71.94+04 10 2005 277
195.209.208.13+23 09 2005 266
80.94.160.194+15 01 2006 15
130.160.160.172+06 10 2004 280
194.186.227.68+07 10 2004 281
62.118.88.17+07 10 2004 281
65.160.238.180+07 10 2004 281
217.169.46.98+07 10 2004 281
195.239.237.107+09 10 2004 283
81.19.66.6+12 02 2006 43
212.193.94.130+09 10 2004 283
213.137.242.222+09 10 2004 283
217.118.79.9+09 10 2004 283
194.85.81.245+30 01 2006 30
66.249.64.66+05 08 2005 217
209.237.238.174+16 10 2004 290
140.247.101.172+18 10 2004 292
195.209.208.18+16 05 2006 136
195.133.213.219+18 10 2004 292
128.101.220.160+19 10 2004 293
62.118.150.214+19 10 2004 293
80.95.35.129+20 10 2004 294
212.3.125.178+20 10 2004 294
83.136.113.168+20 10 2004 294
212.188.97.122+21 10 2004 295
217.174.103.134+11 03 2006 70
207.46.98.81+21 10 2004 295
195.177.121.165+21 10 2004 295
84.17.225.8+21 10 2004 295
81.89.71.6+22 10 2004 296
62.76.40.100+25 10 2004 299
130.183.136.159+16 05 2006 136
212.30.181.127+26 10 2004 300
194.190.253.19+27 10 2004 301
18.241.6.101+28 10 2004 302
195.5.57.219+28 10 2004 302
195.34.229.77+29 10 2004 303
195.34.231.56+01 11 2004 306
213.85.35.141+02 11 2004 307
83.237.23.11+03 11 2004 308
212.46.8.56+04 11 2004 309
81.3.147.61+05 11 2004 310
213.180.210.5+09 03 2005 68
195.19.234.59+03 12 2004 338
213.242.26.50+17 11 2004 322
212.188.100.214+18 11 2004 323
193.25.221.2+18 11 2004 323
194.67.64.94+18 11 2004 323
129.187.254.11+18 11 2004 323
65.214.38.205+19 11 2004 324
193.125.143.43+19 11 2004 324
129.219.83.172+19 11 2004 324
69.107.16.124+20 11 2004 325
67.176.173.117+20 11 2004 325
212.0.195.134+21 11 2004 326
194.67.64.126+10 12 2004 345
207.46.98.77+03 12 2004 338
194.135.35.194+21 12 2004 356
66.249.64.37+06 12 2004 341
132.177.249.87+25 11 2004 330
140.180.142.103+29 06 2005 180
213.180.210.7+06 02 2005 37
194.67.64.113+26 11 2004 331
81.218.221.102+26 11 2004 331
62.118.148.249+27 11 2004 332
81.89.71.8+27 11 2004 332
213.87.14.26+29 11 2004 334
138.253.39.132+29 11 2004 334
83.237.170.142+29 11 2004 334
194.85.83.241+30 11 2004 335
212.188.98.155+01 12 2004 336
149.142.243.72+01 12 2004 336
212.193.68.10+01 12 2004 336
195.19.252.91+01 12 2004 336
194.85.139.3+02 12 2004 337
62.117.99.114+03 12 2004 338
195.34.229.200+03 12 2004 338
194.85.81.152+03 12 2004 338
195.209.41.227+25 01 2006 25
213.85.115.74+15 12 2004 350
212.188.97.30+05 12 2004 340
81.176.137.65+05 12 2004 340
194.67.121.103+06 03 2005 65
195.128.137.76+06 12 2004 341
194.85.81.149+11 10 2005 284
213.177.109.18+07 12 2004 342
159.93.17.217+07 12 2004 342
62.205.168.6+07 12 2004 342
217.116.136.181+07 12 2004 342
